A	(symbol). ១. ប្រើដើម្បីដាក់ឈ្មោះផ្នែក រឺ ចំណែកទី១ នៃវត្ថុអ្វីមួយតាមធម្មដាគេសរសេរ a) រឺ (a) ២. (ប្រើនៅប្រទេសអង់គ្លេសដោយដាក់នៅមុខលេខផ្លូវ ដើម្បីសំគាល់ថាជាផ្លូវធំ) ៣. (ប្រើនៅពីមុខលេខដើម្បីបង្ហាញខ្នាតក្រដាស) an A4 ក្រដាស A4 4 (abbreviation) អំពែ,ចំលើយ
a la mode	(adverb). ដោយចំណូលចិត្ត, ដោយនិយមយ៉ាងច្រើន dress ~ តាមសម័យ (គំនិត, សំលៀកបំពាក់)(adjective). ១. គំនិតដែលភ្ញាក់រលឹក ២. នាមស្ថិតនៅជាប់ពីក្រោយ, (អាហារ) ដែលមានដាក់ការ៉េម pie ~ មានដាក់ការ៉េមពីលើ
A level	(also advanced level) (noun). (ចក្រភពអង់គ្លេស) ការប្រលងឬសញ្ញាប័ត្រមធ្យមសិក្សាប័ត្រភាគ២
A&E	(abbreviation) accident and emergency
A (1)	ល្អលេខមួយ,​ ល្អណាស់A-OK /,eɪ əʊ’ke/[អេយ៍ អូខេ៍] ​(adjective).​ ដែលសែនពេញចិត្តA-road/‘eɪ-rəʊd/['អឹ_ រ៉ូដ] (noun). ផ្លូវធំ(វាតូចជាង motorway តែធំជាង Broadway)
a (2)	an /ən, æn/ (indefinite).(adjective). ១. គុណនាមម្យ៉ាងឥតមានប្រើក្នុងភាសាខ្មែរ ទេមានន័យថាៈ មូយរឺមូយណាមិនចំពោះ ឧ. a book សៀវភៅរឺសៀវភៅមួយ an មានន័យដូចគ្នានឹង a តែសម្រាប់ប្រើតែនៅមុខដែលចាប់ផ្តើមឡើងនឹងស្រៈ ឧ an airoplane យន្តហោះមួយ a អាចប្រើជាគុណនាមផ្សំជាសំនួនវោហារ ឧ A few books សៀវភៅពីរបីរឹបួនប្រាំ a great many people មនុស្សដ៏ច្រើនមនុស្សសន្ធឹក ២. ណាមួយណាម្នាក់ ៣. ដូចគ្នាប្រហែលគ្នាស្រដៀងគ្នា ឧ​​ they are of an age  គេទាំងឡាយមានអាយុប្រហែលគ្នា ៤. (ប្រើពីក្រោយពាក្យបដិសេធណាមួយ) តែមួយគត់ She din't t. tell us a thing about her ho liday នាងពុំបានប្រាប់ខ្ញុំបន្តិចសោះពីការសំរាកលំហែរបស់នាង ៥. ប្រើជាមួយនាមដែលភ្ជាប់ពីក្រោយដោយ of + possess det + (n) + s) a friend of my father's មិត្តម្នាដ់របស់ឳពុក ៦. (ប្រើពីមុខនាមពីរដឺលគេមើលឃើញដូចជាវត្ថុតែមួយ) a knife and fork  កាំបិតនិងសម ៧. (ប្រើជំនួស​ពាក្យ one ពីមុខលេខ រឹ ប្រភាគ) A thousand people attend the tennis match ​ មនុស្សមួយពាន់នាក់បានចួលទស្សនា ការប្រកួតកីឡាវាយកួនវាល់ ៨. សំរាប់ រឺ ចំពោះនិមួយៗក្នុង 500 riels a kilo-game  ៥០០រៀលក្នុងមួយគីឡូ ៩. អក្សរកាត់ដូចជា FM រឺ UN សូរសំលេងរបស់តួអក្សរទីមួយជាអ្នកកំណត់ត្រូវដាក់ a រឺ an ពីមុខវា F អក្សរជាព្យព្ជានៈ​ប៉ុន្តែផ្តើមដោយសូរ /e/ ដូច្នេះយើងនិយាយថា an FM radio។ អក្សរ U ជាស្រះ ប៉ុន្តែផ្តើមឡើងដោយសូរ /j/​ ដូច្នេះយើងនិយាយថា a UN conference សន្និបាតអង្គការសហប្រជាជាតិ
A, D	(abbreviation). Anno Dmini គ.ស. (គ្រឹះស្តសករាជ)
A, a	(noun) (pl. A's, a's /eɪz/) ១. ស្រះ A អក្សរទីមួយតាមលំដាប់អក្ខរក្រមអង់គ្លេស ២. ខ្ទង់(ភ្លេង) ~ flat ស្រែកដាក់ ៣. ប្រភេទល្អបំផុត is this road an A? តើផ្លូវនេះជាប្រភេទល្អបំផុតឬ? (Idiom, Idiomatic) from A to Z ទាំងគ្រប់ know a subject from Atoz ចេះប្រធាន​បទតាំងពីដើមដល់ចប់ From A to B ពីកន្លែងមួយទៅកន្លែងមួយ
A-bomb	(noun). (=atomic bomb) គ្រាប់បែកបរមាណូ
A-OK 	(adjective).​ ដែលសែនពេញចិត្ត
a-peak	(adverb). បញ្ឈរត្រង់
a-riot	(adverb). មិនស្ងប់ស្ងៀម
a-ripple	(adverb). ជាស្នាម, ជាចំរៀក
A-road	(noun).ផ្លូវធំ(វាតូចជាងmotorway តែធំជាង Broadway)
A.c. (also ac)	(abbreviation). ១. alternating current ចរន្តឆ្លាស់ ២. airconditioner ម៉ាស៊ីនត្រជាក់
a.m	(US AM) Latin ante meri-diem ព្រឹក (មុនម៉ោង១២ថ្ងៃ) ១០:០០​ a.m ម៉ោង១០ព្រឹក
AA	(abbreviation) Automobile Association (អង្គភាពអង់គ្លេសមួយដែលផ្តល់សេវាសំរាប់ម្ចាស់រថយន្ត)
AAA	(abbreviation).American Automobile Association (អង្គការអាមេរិចកាំងមួយដែលផ្តល់សេវាសំរាប់ម្ចាស់រថយន្ត)
